,id,x,y,unique_squi_id,Shift,Date,Age,primary_fur_color,Location,specific_location,running,Chasing,Climbing,Eating,Foraging,other_activities,Kuks,Quaas,Moans,tail_flags,tail_twitches,approaches,indifferent,runs_from
146,1148,-73.9564023626619,40.7905423546155,33G-AM-1013-02,AM,10132018,Adult,Gray,Above Ground,shelter in hole in tree,False,False,True,False,False,not known,False,False,False,False,False,False,True,True
147,1149,-73.9532620128307,40.795247554804796,39G-AM-1018-01,AM,10182018,Adult,Gray,Ground Plane,not known,False,False,False,False,False,dead (something ran over it),False,False,False,False,False,False,False,False
148,1150,-73.9576349321357,40.7904409912437,32G-PM-1013-03,PM,10132018,Juvenile,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,True,False
149,1151,-73.97634308293419,40.7686351097159,4D-PM-1008-11,PM,10082018,Adult,Cinnamon,Above Ground,on tree facing downward,False,False,False,False,False,chased #12,True,False,False,True,False,False,False,True
150,1152,-73.9714789136757,40.7694886645194,6H-AM-1008-01,AM,10082018,Adult,Cinnamon,Ground Plane,not known,False,False,False,True,False,not known,False,False,False,False,False,False,False,False
151,1153,-73.9755133710665,40.7697883435981,5E-AM-1008-08,AM,10082018,Adult,Gray,Ground Plane,not known,True,False,False,False,False,not known,False,False,False,False,False,False,True,False
152,1154,-73.9702348982803,40.7773295419104,15D-PM-1017-01,PM,10172018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,True,False
153,1155,-73.9686056085297,40.7781658424866,16E-AM-1014-03,AM,10142018,Adult,Gray,Ground Plane,not known,False,False,False,True,True,not known,False,False,False,False,False,True,False,False
154,1156,-73.9522142360388,40.7949598486683,39H-PM-1013-02,PM,10132018,Juvenile,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,True,False,True,False
155,1157,-73.9576589997493,40.7972751877447,39C-PM-1006-02,PM,10062018,Adult,Gray,Above Ground,not known,False,False,True,False,False,not known,False,False,False,False,False,False,False,False
156,1158,-73.9637946878735,40.791570044687795,31A-AM-1010-04,AM,10102018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,True,False,False,False
157,1159,-73.9710991123992,40.77238897266471,9F-PM-1014-02,PM,10142018,Adult,Gray,Ground Plane,not known,False,False,False,True,False,not known,False,False,False,False,False,False,True,False
158,1160,-73.9638270331336,40.7810450065235,21G-PM-1007-02,PM,10072018,Adult,Gray,Ground Plane,not known,False,False,False,True,False,not known,False,False,False,True,False,False,False,True
159,1161,-73.9756015005821,40.7670090327736,2F-AM-1006-01,AM,10062018,Adult,Gray,Ground Plane,walking along path,False,False,False,False,True,not known,False,False,False,False,True,False,True,False
160,1162,-73.9649632550828,40.7809187761995,20F-PM-1007-01,PM,10072018,Adult,Gray,Ground Plane,not known,False,False,False,True,True,not known,False,False,False,False,True,False,True,False
161,1163,-73.957219204335,40.7931529059779,35E-PM-1006-01,PM,10062018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,True,False,False
